condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.0035070140280561123,-3.119573535247592,stable,0.0001963492545675738,0.012424951558233189
SP,0.0036072144288577155,-0.022269373843864848,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0036072144288577155,-3.1193232797459283,stable,0.0001963492545675738,0.012424951558233189
SP,0.0037074148296593187,-0.022525383721860415,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0037074148296593187,-3.1190672698679327,stable,0.0001963492545675738,0.012424951558233189
SP,0.003807615230460922,-0.022787348776212912,unstable,0.0001963492545675738,0.012424951558233189
SP,0.003807615230460922,-3.1188053048135806,stable,0.0001963492545675738,0.012424951558233189
SP,0.003907815631262525,-0.023055479260341016,unstable,0.0001963492545675738,0.012424951558233189
SP,0.003907815631262525,-3.118537174329452,stable,0.0001963492545675738,0.012424951558233189
SP,0.004008016032064128,-0.02332999544404757,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004008016032064128,-3.1182626581457455,stable,0.0001963492545675738,0.012424951558233189
SP,0.004108216432865732,-0.02361112821723932,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004108216432865732,-3.117981525372554,stable,0.0001963492545675738,0.012424951558233189
SP,0.004208416833667334,-0.023899119737841534,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004208416833667334,-3.117693533851952,stable,0.0001963492545675738,0.012424951558233189
SP,0.004308617234468938,-0.024194224127745745,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004308617234468938,-3.117398429462048,stable,0.0001963492545675738,0.012424951558233189
SP,0.004408817635270541,-0.024496708220979713,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004408817635270541,-3.1170959453688134,stable,0.0001963492545675738,0.012424951558233189
SP,0.0045090180360721445,-0.024806852368745247,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0045090180360721445,-3.116785801221048,stable,0.0001963492545675738,0.012424951558233189
SP,0.004609218436873747,-0.02512495130642378,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004609218436873747,-3.1164677022833693,stable,0.0001963492545675738,0.012424951558233189
SP,0.004709418837675351,-0.025451315088186544,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004709418837675351,-3.116141338501606,stable,0.0001963492545675738,0.012424951558233189
SP,0.004809619238476954,-0.025786270095446984,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004809619238476954,-3.1158063834943466,stable,0.0001963492545675738,0.012424951558233189
SP,0.004909819639278557,-0.026130160126049073,unstable,0.0001963492545675738,0.012424951558233189
SP,0.004909819639278557,-3.1154624934637436,stable,0.0001963492545675738,0.012424951558233189
SP,0.00501002004008016,-0.026483347571835125,unstable,0.0001963492545675738,0.012424951558233189
SP,0.00501002004008016,-3.115109306017958,stable,0.0001963492545675738,0.012424951558233189
SP,0.005110220440881764,-0.02684621469308146,unstable,0.0001963492545675738,0.012424951558233189
SP,0.005110220440881764,-3.114746438896711,stable,0.0001963492545675738,0.012424951558233189
SP,0.0052104208416833666,-0.027219164999216172,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0052104208416833666,-3.1143734885905765,stable,0.0001963492545675738,0.012424951558233189
SP,0.00531062124248497,-0.027602624746325244,unstable,0.0001963492545675738,0.012424951558233189
SP,0.00531062124248497,-3.1139900288434674,stable,0.0001963492545675738,0.012424951558233189
SP,0.005410821643286573,-0.02799704456311547,unstable,0.0001963492545675738,0.012424951558233189
SP,0.005410821643286573,-3.113595609026678,stable,0.0001963492545675738,0.012424951558233189
SP,0.005511022044088177,-0.028402901218404164,unstable,0.0001963492545675738,0.012424951558233189
SP,0.005511022044088177,-3.1131897523713885,stable,0.0001963492545675738,0.012424951558233189
SP,0.0056112224448897794,-0.02882069954469424,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0056112224448897794,-3.1127719540450993,stable,0.0001963492545675738,0.012424951558233189
SP,0.005711422845691383,-0.029250974534181573,unstable,0.0001963492545675738,0.012424951558233189
SP,0.005711422845691383,-3.1123416790556115,stable,0.0001963492545675738,0.012424951558233189
SP,0.005811623246492986,-0.0296942936254867,unstable,0.0001963492545675738,0.012424951558233189
SP,0.005811623246492986,-3.1118983599643064,stable,0.0001963492545675738,0.012424951558233189
SP,0.0059118236472945895,-0.030151259201685487,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0059118236472945895,-3.111441394388107,stable,0.0001963492545675738,0.012424951558233189
SP,0.006012024048096192,-0.030622511322769608,unstable,0.0001963492545675738,0.012424951558233189
SP,0.006012024048096192,-3.110970142267023,stable,0.0001963492545675738,0.012424951558233189
SP,0.006112224448897796,-0.03110873071861686,unstable,0.0001963492545675738,0.012424951558233189
